doc_id,source,category,title,text,date
pubmed_39804124,pubmed,medical,Significant Disparities in Adolescents With Severe Traumatic Brain Injury Across Trauma Center Types: Wide Variation of Tracheostomy and Gastrostomy.,"Significant Disparities in Adolescents With Severe Traumatic Brain Injury Across Trauma Center Types: Wide Variation of Tracheostomy and Gastrostomy.

To explore practice variations in the rate and timing of tracheostomy and gastrostomy for adolescent with severe traumatic brain injury (TBI) across trauma center types.",2025
2605.14011v1,arxiv,scientific,Robust inference in inflated beta regression,"Robust inference in inflated beta regression

The inflated beta regression model is widely used for modeling continuous proportions with values at the boundaries. Maximum likelihood estimation for these models is well-known for its sensitivity to outliers, which can severely distort inference and lead to misleading conclusions. We propose robust estimators that mitigate the lack of robustness in maximum likelihood-based inference while preserving the simplicity and interpretability of the inflated beta framework. Additionally, an algorithm is introduced to select tuning constants based on the data's robustness requirements. The proposed estimators' asymptotic and robustness properties are studied, and robust Wald-type tests are developed. Simulation studies and a real data application highlight the advantages and practical effectiveness of the proposed robust estimators.",2026-05-13T18:22:19Z
2605.14958v1,arxiv,scientific,Conservative and dissipative sectors in a nonlinear scalar model for the gravitational self-force problem,"Conservative and dissipative sectors in a nonlinear scalar model for the gravitational self-force problem

When considering how self-interaction affects an object's motion, it can be convenient to decompose the self-force into conservative and dissipative pieces. As a toy model for understanding such decompositions of the gravitational self-force, we consider objects that do not affect the spacetime, but are instead coupled to a nonlinear scalar field. There is then a standard splitting of the first-order scalar self-force into conservative and dissipative components. Multiple criteria can be used to obtain this splitting, all of which imply the same result. However, the implications of these criteria generically differ at higher orders. Demanding that any reasonable conservative sector be Hamiltonian, we identify multiple possible definitions of the conservative second-order self-force. Motivations for these possibilities and their properties are discussed and relevant Hamiltonians are obtained. We assume the existence of a three-point function with certain properties that is a generalization of the Detweiler-Whiting two-point function. These results apply to the two-body problem but are restricted to unbound scattering trajectories, due to infrared divergences that arise for bound orbits.",2026-05-14T15:26:44Z
pubmed_42047974,pubmed,medical,"HIV Mortality Surveillance in Nigeria, A Systematic Review of Trends, Determinants, and Implications For Public Health Policy.","HIV Mortality Surveillance in Nigeria, A Systematic Review of Trends, Determinants, and Implications For Public Health Policy.

Despite substantial progress in expanding antiretroviral therapy (ART) coverage and scaling up prevention interventions, Human Immunodeficiency Virus (HIV) related mortality remains a significant public health challenge in several high-burden settings, including Nigeria. Persistent data system fragmentation, late diagnosis, and socio-structural inequities have slowed progress toward epidemic control. This systematic review synthesizes evidence on the epidemiological trends, determinants, and surveillance performance of HIV mortality in Nigeria, highlighting implications for public health policy and Sustainable Development Goal (SDG) 3.3. A systematic review was conducted following the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) 2020 framework. Peer-reviewed studies, national surveillance reports, and institutional documents published between 2010 and 2024 were retrieved from PubMed, Scopus, Web of Science, African Journals Online (AJOL), and World Health Organization (WHO) databases. Thematic synthesis was guided by the Public Health Surveillance Theory (PHST), Health Systems Resilience Framework (HSRF), and Socio-Ecological Model of Mortality (SEMM). Data were analyzed across four domains: mortality trends, determinants, surveillance performance, and global comparators. Eighty-two studies met inclusion criteria. HIV-related deaths in Nigeria declined from approximately 220,000 in 2010 to 52,000 in 2023, though progress has plateaued since 2018. Key mortality drivers include late ART initiation, Tuberculosis (TB) and Non-communicable disease (NCD) co-infection, and structural factors such as stigma, poverty, and gender inequity. Institutional challenges including ART stock-outs, poor Electronic Medical Records (EMR-Civil Registration and Vital Statistics (CRVS) linkage, and weak mortality audit systems undermine timely surveillance. Nigeria's CRVS captures < 30% of deaths, with < 10% accurately certified, compared to > 95% capture in countries with integrated digital systems such as South Africa and Brazil. Reducing HIV mortality in Nigeria requires transforming mortality surveillance into an active public health intervention. Integrating electronic medical records with civil registration, expanding verbal autopsy coverage, institutionalizing mortality audits, and addressing structural inequities will strengthen health system resilience and accelerate progress toward HIV epidemic control and SDG targets by 2030.",2026
2605.14974v1,arxiv,scientific,Categorification of Chemical Reactions: a bottom-up tower from stoichiometry to quantum structure,"Categorification of Chemical Reactions: a bottom-up tower from stoichiometry to quantum structure

Chemistry's rules carry exceptions: the octet rule, Hess's Law, detailed balance, orbital symmetry selection rules, all with disclaimers memorised separately. Their cause: a question from a richer structural level posed in the vocabulary of a simpler one, i.e. level incompleteness.
  This monograph makes the levels explicit, constructing a canonical tower of nine categorical levels from stoichiometry through thermochemistry, equilibrium, kinetics, electron-pushing mechanisms, stereochemistry, potential energy surfaces, and electronic structure to all-particle quantum mechanics. Each level emerges from pairs of reactions distinct yet indistinguishable at the previous level; the minimal extension resolving each ambiguity is provably unique, certified by a non-trivial cokernel in an automorphism exact sequence, and recovers Feinberg's deficiency theorems as homological corollaries.
  A perpendicular dimension: every ML model for chemistry (yield predictors, neural kinetic networks, equivariant force fields, learned wavefunctions) is a morphism in the Para-enrichment of one tower level, with equivariance and thermodynamic consistency as universal properties. Three incompleteness results (Eyring, Wegscheider, topological output gaps) apply to the current literature. The framework descends to code: an operational functor from a Para-enriched product of the first four levels into the Kleisli category of the probabilistic sub-monad of Haskell IO, instantiated as a simulator of the Briggs-Rauscher oscillating reaction: the first Kleisli semantics of Gillespie's next-reaction method and first Para application outside ML.
  The passage to all-particle quantum mechanics, Born-Oppenheimer as the classical limit of a continuous field of C*-algebras, remains the deepest open construction; four candidate conjectures including Woolley-Primas have obstructions the framework makes specific.",2026-05-14T15:37:49Z
wiki_immigration_law,wikipedia,legal,Immigration law,"Immigration law includes the national statutes, regulations, and legal precedents governing immigration into and deportation from a country. Strictly speaking, it is distinct from other matters such as naturalization and citizenship, although they are sometimes conflated.  Countries frequently maintain laws that regulate both the rights of entry and exit as well as internal rights, such as the duration of stay, freedom of movement, and the right to participate in commerce or government.


== Variation ==
Immigration laws vary around the world and throughout history, according to the social and political climate of the place and time, as the acceptance of immigrants sways from the widely inclusive to the deeply nationalist and isolationist. National laws regarding the immigration of citizens of that country are regulated by international law. The United Nations' International Covenant on Civil and Political Rights mandates that all countries allow entry to their own citizens.
This principle is not always respected in practice. For instance, during the COVID-19 pandemic, Australia adopted a policy of denying entry to all individuals in particularly affected jurisdictions, including Australian citizens and permanent residents. Similarly, while states within the Schengen Area typically permit freedom of movement across borders, many states within the area implemented ad hoc border controls during the pandemic.
Immigration policy is the aspect of border control concerning the transit of people into a country, especially those that intend to stay and work in the country. Taxation, tariff and trade rules set out what goods immigrants may bring with them, and what services they may perform while temporarily in the country. Agricultural policy may make exemptions for migrant farm workers, who typically enter a country only for the harvest season and then return home to a country or region in the Global South (such as Mexico or Jamaica from where U.S. and Canada, respectively, often import temporary agricultural labour). An important aspect of immigration policy is the treatment of refugees, more or less helpless or stateless people who throw themselves on the mercy of the state they try to enter, seeking refuge from actual or purported poor treatment in their country of origin. Asylum is sometimes granted to those who face persecution or a well-founded fear of persecution on account of race, religion, nationality, membership of a particular social group, or politic",
pubmed_42128905,pubmed,medical,Gender disparities in random blood glucose levels among Pakistani adults with type 2 diabetes: a cross-sectional analysis.,"Gender disparities in random blood glucose levels among Pakistani adults with type 2 diabetes: a cross-sectional analysis.

This study investigated gender disparities in random blood glucose (RBS) levels among Pakistani adults with Type 2 Diabetes (T2D), examining biological and sociocultural determinants. A cross-sectional analysis of 300 age-matched adults with T2D (150 men, 150 women; age 35-60 years) from four tertiary hospitals in Peshawar, Pakistan (February-July 2023). RBS was measured via the Microlab-300 system (Beer-Lambert Law). Multivariate regression and machine learning models (Ridge Regression, Random Forest, Support Vector Regression (SVR), Neural Network, Polynomial Regression) with nested cross-validation were used to analyze associations between demographic factors and RBS. Women had significantly higher mean RBS than men (243.6 vs. 210.8 mg/dL, p < 0.001) and a higher prevalence of severe hyperglycemia (≥260 mg/dL: 38.7% vs. 12.0%). Gender alone explained 16.5% of RBS variance in simple linear regression. Age showed a moderate positive correlation with RBS (r = 0.587, p < 0.001). In multivariate analysis, female gender (β = 24.76, p < 0.001), age (β = 3.01 per year, p < 0.001), and BMI (β = 0.88, p = 0.034) were significant predictors, while family history showed a protective effect (β = -13.36, p < 0.001). Machine learning models using only demographic variables achieved moderate predictive performance (R² = 0.421-0.470), with Ridge Regression performing best (R² = 0.470, MAE = 23.68 mg/dL). Feature importance analysis identified age (70.9%), gender (17.8%), and BMI (8.9%) as the dominant predictors. Significant gender disparities exist in random blood glucose among Pakistani adults with T2D, with women exhibiting higher mean values and greater prevalence of severe hyperglycemia. Age, gender, BMI, and family history are important demographic determinants, but demographic factors alone explain less than half of RBS variance. These findings highlight the need for gender-sensitive diabetes management strategies in South Asia and emphasize the necessity of incorporating direct biomarkers in future prediction efforts.",2026
pubmed_42084160,pubmed,medical,Oral iron supplementation as a public health intervention in children aged 6 to 23 months for preventing iron deficiency and anaemia: Economic evaluation for the South African health system.,"Oral iron supplementation as a public health intervention in children aged 6 to 23 months for preventing iron deficiency and anaemia: Economic evaluation for the South African health system.

 Anaemia prevalence among Southern African children aged 6-23 months was estimated at 65% in 2019. The World Health Organization recommends that children aged 6-23 months living in countries with an anaemia prevalence above 40% should receive preventive oral iron supplements.",2026
2605.14702v1,arxiv,scientific,Weakly nonlinear analysis of Hopf bifurcations in the elastohydrodynamics of Cosserat rods,"Weakly nonlinear analysis of Hopf bifurcations in the elastohydrodynamics of Cosserat rods

We study the weakly nonlinear saturation of the flutter instability of a planar Cosserat rod in a viscous fluid driven by a terminal follower force. This instability, established in our preceding work as a Hopf bifurcation of a non-self-adjoint linear operator, produces stable limit-cycle oscillations in the fully nonlinear overdamped dynamics. Here we derive an analytical description of the emergence of this limit cycle near threshold. Working close to the critical follower force, we perform a multiple-scale expansion about the compressed straight base state and systematically remove secular growth at higher orders. Solvability at cubic order, enforced using the adjoint eigenmode of the non-Hermitian operator, yields a Stuart-Landau amplitude equation for the critical oscillatory mode. The Landau coefficients are expressed as explicit inner products involving the critical eigenmode, its adjoint, and quadratic corrections. The resulting reduced theory predicts a supercritical Hopf bifurcation with a steady-state tip oscillation amplitude scaling as the square root of the distance from threshold. These predictions rationalize the near-threshold scaling observed in nonlinear simulations and provide an analytical normal form for the onset of self-sustained beating in pressure-driven soft robotic arms at low Reynolds number.",2026-05-14T11:17:52Z
pubmed_38889384,pubmed,medical,Using the Progression Independent of Relapse Activity Framework to Unveil the Pathobiological Foundations of Multiple Sclerosis.,"Using the Progression Independent of Relapse Activity Framework to Unveil the Pathobiological Foundations of Multiple Sclerosis.

Progression independent of relapse activity (PIRA), a recent concept to formalize disability accrual in multiple sclerosis (MS) independent of relapses, has gained popularity as a potential clinical trial outcome. We discuss its shortcomings and appraise the challenges of implementing it in clinical settings, experimental trials, and research. The current definition of PIRA assumes that acute inflammation, which can manifest as a relapse, and neurodegeneration, manifesting as progressive disability accrual, can be disentangled by introducing specific time windows between the onset of relapses and the observed increase in disability. The term PIRMA (progression independent of relapse and MRI activity) was recently introduced to indicate disability accrual in the absence of both clinical relapses and new brain and spinal cord MRI lesions. Assessing PIRMA in clinical practice is highly challenging because it necessitates frequent clinical assessments and brain and spinal cord MRI scans. PIRA is commonly assessed using Expanded Disability Status Scale, a scale heavily weighted toward motor disability, whereas a more granular assessment of disability deterioration, including cognitive decline, using composite measures or other tools, such as digital tools, would possess greater utility. Similarly, using PIRA as an outcome measure in randomized clinical trials is also challenging and requires methodological considerations. The underpinning pathobiology of disability accumulation, that is not associated with relapses, may encompass chronic active lesions (slowly expanding lesions and paramagnetic rim lesions), cortical lesions, brain and spinal cord atrophy, particularly in the gray matter, diffuse and focal microglial activation, persistent leptomeningeal enhancement, and white matter tract damage. We propose to use PIRA to understand the main determinant of disability accrual in observational, cohort studies, where regular MRI scans are not included, and introduce the term of ""advanced-PIRMA"" to investigate the contributions to disability accrual of the abovementioned processes, using conventional and advanced imaging. This is supported by the knowledge that MRI reflects the MS pathogenic mechanisms better than purely clinical descriptors. Any residual disability accrual, which remains unexplained after considering all these mechanisms with imaging, will highlight future research priorities to help complete our understanding of MS pathogenesis.",2024
